"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","mxpsd","max","fog","NUM_COLLISIONS"
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,14,62.1,0,-0.603585259082461
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,19,70,0,-0.83045040534456
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,11.1,54,0,-1.24788227446682
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,9.9,61,0,-1.12083779256005
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,24.1,61,0,-0.721555135138752
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,15.9,57,0,-1.05731555160666
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,13,57,0,-0.875823434596979
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,15.9,64,0,-0.403943930371815
"144",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,21,66.2,1,-1.04824094575617
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,18.1,66,0,-1.01194252235424
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,14,66,0,-0.857674222896011
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,8,69.1,1,-0.766928164391172
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,8.9,69.1,1,-0.630809076633913
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,13,66.9,1,-0.903047252148431
"150",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,15.9,66.9,1,-0.458391565474718
"151",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,17.1,64,1,-0.748778952690204
"152",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,21,66.9,0,-0.912121857998915
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,19,66.9,0,-1.02101712820472
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,11.1,62.1,0,-1.01194252235424
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,15,66.9,0,-0.839525011195044
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2020,13,73.9,0,-0.57636144153101
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2020,11.1,73.9,1,-0.549137623979558
"158",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2020,13,64.9,1,-0.422093142072783
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2020,18.1,66,1,-0.930271069699883
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2020,11.1,73,0,-0.667107500035849
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2020,8.9,73,0,-0.521913806428106
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,12,72,1,-0.639883682484397
