"","day","mxpsd","max","fog","NUM_COLLISIONS"
"721",6,12,64,0,-0.0681835139039094
"3343",7,21,55,0,-0.249675630913588
"1717",1,15,59,0,0.0497863621523817
"2363",2,17.1,61,1,-0.422093142072783
"2366",3,17.1,61,0,0.00441333289996205
"2469",4,17.1,57.2,0,0.23127847916206
"4105",5,28.9,50,0,0.775754830191096
"2246",6,17.1,48,0,0.23127847916206
"2368",7,17.1,61,0,-0.00466127295052188
"3618",1,22.9,46,0,0.167756238208673
"3743",2,24.1,48,0,-0.213377207511652
"1065",3,13,55,0,-0.0591089080534255
"1186",4,13,64.9,0,0.439994413723191
"1839",5,15,64.9,1,0.512591260527062
"2289",6,17.1,68,1,0.185905449909641
"375",7,9.9,71.1,0,0.158681632358189
"209",1,8.9,71.1,1,0.0860847855543174
"998",2,13,68,1,0.312949931816416
"817",3,12,66,0,-0.0772581197543933
"3706",4,22.9,64.9,1,0.167756238208673
"1838",5,15,64.9,0,0.748531012639644
"3152",6,20,55,0,-0.0954073314553612
"2344",7,17.1,55,0,-0.521913806428106
"3883",1,25.1,61,0,-0.0318850905019737
"1893",2,15,62.1,0,-0.431167747923267
"3310",3,21,54,0,-0.122631149006813
"3725",4,22.9,51.1,0,-0.267824842614556
"3987",5,26,62.1,0,0.449069019573675
"2753",6,18.1,64.9,0,0.0497863621523817
"2155",7,15.9,64.9,0,-0.78507737609214
"3543",1,22,61,1,-0.0954073314553612
"3541",2,22,61,0,0.140532420657221
"2714",3,18.1,55.9,0,-0.295048660166008
"2115",4,15.9,57.9,0,-0.957494887251335
"960",5,12,62.1,1,-0.267824842614556
"247",6,8.9,62.1,1,-0.630809076633913
"1364",7,14,55,0,-0.549137623979558
"3900",1,25.1,57.9,0,-0.0681835139039094
"4230",2,34,63,1,-0.358570901119395
"3673",3,22.9,63,0,-0.667107500035849
"2562",4,18.1,52,0,-0.512839200577622
"2648",5,18.1,59,0,0.57611350148045
"4202",6,32.1,59,0,-0.27689944846504
"4014",7,27,41,0,-0.612659864932945
"2490",1,17.1,42.1,0,-0.249675630913588
"3709",2,22.9,39.2,0,-0.240601025063104
"1235",3,13,44.1,0,-0.258750236764072
"2240",4,17.1,48,0,0.0225625446009299
"712",5,12,54,0,0.358322961068835
"1482",6,14,57.9,1,-0.213377207511652
"2900",7,19,59,1,-0.394869324521331
"802",1,12,57,0,-0.53098841227859
"3071",2,20,46,0,0.0588609680028656
"1794",3,15,39.9,0,0.294800720115448
"4231",4,34,46.9,0,-0.685256711736817
"3889",5,25.1,46.9,0,-0.27689944846504
"1792",6,15,39.9,0,-0.521913806428106
"343",7,9.9,48.9,0,-1.03916633990569
"1134",1,13,48.9,0,-0.367645506969879
"3072",2,20,46,0,0.104233997255285
"3483",3,22,46,0,0.467218231274643
"3055",4,19,53.1,0,0.0588609680028656
"4080",5,28,59,1,-1.27510609201827
"4023",6,27,59,0,-0.748778952690204
"1883",7,15,44.1,0,-1.12991239841053
"1285",1,14,52,0,-0.83045040534456
"2837",2,19,52,0,-0.585436047381493
"2818",3,19,48,0,-0.639883682484397
"3842",4,24.1,53.6,0,-0.27689944846504
"1297",5,14,54,0,-0.972205697923516
"3727",6,22.9,53.1,1,-1.75634556596324
"3056",7,19,53.1,0,-2.47690652578352
"3444",1,21,44.1,0,-1.2901002390207
"3026",2,19,44.1,0,-1.58680181071141
"3571",3,22,39.9,0,-1.75634556596324
"2327",4,17.1,41,0,-0.378802554542106
"1061",5,13,41,0,-0.654311156826332
"2621",6,18.1,37,0,-1.24771430020774
"2622",7,18.1,39,0,-2.66764325044183
"243",1,8.9,44.1,0,-1.37487211664662
"954",2,12,44.1,0,-0.50596037098098
"427",3,9.9,42.1,0,-1.22652133080126
"450",4,11.1,46,0,-1.05697757554943
"446",5,11.1,46,0,-0.654311156826332
"3840",6,24.1,53.1,0,-0.802661942671685
"4142",7,28.9,53.1,0,-1.96827526002803
"3518",1,22,45,0,-1.65038071893084
"2013",2,15.9,45,0,-0.8874338202976
"2323",3,17.1,41,0,-1.05697757554943
"2325",4,17.1,41,0,-1.09936351436239
"950",5,12,44.1,0,-1.03578460614295
"3030",6,19,44.1,0,-1.09936351436239
"3917",7,25.1,35.1,0,-1.92588932121507
"2806",1,19,34,0,-0.908626789704079
"868",2,12,37.9,0,-0.845047881484642
"796",3,12,41,0,-0.866240850891121
"3329",4,21,41,0,-0.866240850891121
"4009",5,27,37,0,-0.251644738103232
"3996",6,27,23,0,-0.399995523948585
"1530",7,14,28.9,0,-0.124486921664359
"4017",1,27,41,0,-1.35367914724014
"4071",2,28,43,1,-1.37487211664662
"2011",3,15.9,43,0,-1.20532836139478
"1141",4,13,37.9,0,-0.548346309793937
"2193",5,15.9,44.1,0,0.49010919112353
"3249",6,20,44.1,0,-0.590732248606895
"4135",7,28.9,44.1,1,-1.26890726961422
"3845",1,25.1,34,0,-0.039715044038443
"698",2,12,34,1,-1.56560884130493
"2234",3,17.1,34,0,-0.50596037098098
"211",4,8.9,28.9,0,-0.0821009828514009
